x,y,z,map
-20.004292,-24.692953,-14.563684,5.529833
-20.961552,-21.967136,-13.737107,5.5307307
-22.269619,-21.011173,-12.504367,5.7741866
-24.392817,-21.526869,-10.427183,6.106416
-23.367184,-28.695917,-11.156825,6.3826213
-21.352295,4.382305,-13.880725,6.8761606
-22.748745,3.2292523,-12.8172035,7.1075487
-24.286919,-1.4988636,-12.416362,6.6463065
-23.223722,-5.6023965,-15.084224,6.006854
-21.256401,-5.4479785,-17.48468,5.9389663
-18.284584,-3.0082676,-18.805155,5.4883637
-17.239233,1.951669,-17.650625,5.8583694
-17.340845,2.9203997,-17.247885,5.973262
24.392551,-17.296797,-7.149995,5.7910624
22.897854,-20.582426,-5.0418386,5.498159
23.06965,-23.131933,-1.7656367,5.4827876
24.107826,-23.722279,-0.03971122,5.7045035
30.19627,-12.0897455,-3.4595444,6.999038
32.684475,14.545446,-2.900577,11.436637
32.532974,14.421171,-1.8590912,11.561923
32.677483,12.149713,2.8361099,11.135843
36.99511,2.3953295,1.6706978,10.134022
35.91789,9.963751,-8.262714,10.387458
35.223347,11.966628,-8.367271,10.591938
34.746807,12.904105,-8.247029,10.67995
-23.696974,-24.54119,-4.9235406,6.437959
17.935946,7.3817916,-11.367268,7.283176
-22.658522,-5.671275,-12.63534,5.7939343
30.77571,-6.9080896,18.239445,10.154798
-12.297653,0.7576905,-15.659656,4.7718945
-16.272064,-28.972525,0.71749115,5.215098
25.275936,-9.185866,-6.185741,6.0480537
-5.8131027,-7.115389,14.446916,10.8371
28.799551,9.770613,-11.346031,9.314723
27.30878,10.816113,-10.83019,9.286282
32.434895,4.7145224,13.926084,10.917933
-1.9812114,8.9037485,-2.262219,7.073913
35.11665,-18.722088,18.706078,9.052786
7.407137,9.775467,-12.0215845,6.0729175
8.045879,10.189681,-11.527677,6.2518077
32.145283,16.351387,31.937693,15.620761
-21.32369,-7.397233,-14.196701,5.388996
30.496037,-1.0901965,15.308988,10.623884
9.044822,-1.5117049,19.60409,12.482517
-22.433485,-24.075861,1.4006966,6.520018
