x,y,z,map
-18.176,4.59,-16.323,16.286453
28.322,-12.913,-5.8750005,12.562964
-20.69582,-27.513136,-13.78983,19.912548
-20.043047,-25.716217,-14.488947,20.215178
-20.961552,-21.967136,-13.737107,19.82944
-24.392817,-21.526869,-10.427183,19.102236
-25.349142,-23.032038,-9.445516,18.918282
-24.164623,-3.4888926,-13.095523,17.462486
-19.61099,-4.5707884,-18.435661,16.964275
-17.396854,-0.03478993,-18.33665,16.274334
-17.639725,3.8318882,-16.815987,16.137749
34.74752,-24.272291,23.865545,10.671214
34.348022,-25.22675,24.084044,10.8475065
33.901672,-26.161526,24.294643,11.023687
29.838436,-30.908688,25.099165,12.077074
29.040035,-31.597132,25.183504,12.251893
28.221443,-32.26255,25.258074,12.426562
23.085835,-35.96468,25.608004,13.473958
18.358482,-38.31197,25.726645,14.343867
17.358469,-38.651066,25.7486,14.516698
3.3726554,-36.485172,26.818398,15.226687
1.9564747,-34.9249,26.973686,14.8225355
-1.0883445,-29.392412,26.96833,13.536972
-1.064042,-22.13242,26.565079,12.084846
7.501516,-6.598433,24.794643,8.804312
16.992336,-0.5759223,25.023735,7.0897326
24.240343,-1.666994,24.62744,6.8494754
35.816246,-19.177246,23.170145,9.7972555
23.89639,-18.156778,-6.7918963,13.582725
28.972103,-12.56678,-5.11577,12.439885
33.74707,14.173427,-6.9668837,11.719563
32.684475,14.545446,-2.900577,11.144702
36.58277,2.4067512,2.6411583,10.945995
36.90898,4.7813396,-5.2402673,11.796971
32.004814,-9.219568,17.932142,7.9746943
15.14078,11.978721,-8.139402,11.283622
15.182161,11.528579,-8.933787,11.431368
-17.096544,0.20380737,-1.5071893,15.1874485
30.930061,-0.53867006,20.683865,6.444951
-25.22794,-23.55317,-8.582025,18.714575
-25.159143,-24.498476,-8.117819,18.556038
30.297588,-1.2603986,20.43003,6.553951
30.178211,-6.0554357,18.717312,7.349202
-8.315284,-31.767624,10.955649,16.000092
25.15413,-7.9312735,-7.319017,11.9839525
31.00508,0.7758915,13.811678,7.6152573
7.7706523,-29.82295,6.0563307,15.936235
5.158043,-5.421284,20.127066,8.824762
-12.253337,3.9441373,-4.816245,14.28332
8.4978695,-39.094128,25.193514,15.918154
7.267048,-38.848648,25.43013,15.973889
-5.048468,-6.2768183,14.186081,11.154235
26.460484,-31.981022,18.513979,12.348674
35.212852,-17.705,20.08152,9.413894
-20.525139,-4.000772,-7.413114,16.621183
32.793915,3.7983367,3.8116853,10.071649
-21.236017,-12.146402,-3.194053,16.98714
-15.51529,-27.614182,13.522677,14.737291
31.182186,20.26491,24.215229,3.6624258
32.227528,4.760969,12.841916,7.2371826
32.61015,5.6428466,13.127288,7.0683146
-1.9812114,8.9037485,-2.262219,11.8062725
-2.0118883,8.970805,-3.618242,12.004982
-3.2805238,8.36987,-3.5593967,12.123275
7.407137,9.775467,-12.0215845,12.71274
8.045879,10.189681,-11.527677,12.57618
19.287235,11.758951,20.03332,5.364297
30.616924,-2.0535564,14.983787,7.6578417
-0.6615251,-9.930758,20.244942,10.066273
34.00358,-15.377693,16.920305,9.074203
1.0524486,8.9120655,4.5311766,10.555245
0.9507812,-0.25459695,13.359296,10.022609
15.749296,-22.906921,-1.7818927,14.023219
30.401701,-14.791755,3.7090757,11.417545
33.352894,5.2482777,-9.682492,12.027779
1.2582493,-34.954247,26.365131,14.717525
-0.12854576,-34.66249,25.499887,14.522211
29.04325,7.908505,7.0403814,7.861679
-19.207851,-21.7861,10.305831,14.939064
9.135586,-0.4371586,18.881527,7.8013787
9.121545,0.4449555,18.267649,7.756008
12.586502,-10.401998,-11.772212,14.935478
-22.089594,-18.947563,-4.5020103,17.876898
25.044527,14.813961,12.7573,6.5829477
33.975464,-23.18774,17.67222,10.383488
33.558968,-22.693855,16.752472,10.340992
-20.333406,2.1057599,-11.684999,16.192846
29.437553,-5.2976294,23.029211,7.274315
29.678686,-2.3267395,-6.4707584,11.215164
17.369099,10.95282,11.778508,7.3327684
10.48056,-7.233253,-13.4225025,15.434776
29.94601,-1.1967534,-6.228368,11.057204
-15.44186,-24.274233,15.803794,14.011835
-9.712868,-3.8592796,-16.507296,15.752597
15.435099,5.7850547,18.110603,6.442782
12.124114,7.938201,-11.936861,12.516496
26.977747,12.13893,8.417174,7.7032394
25.496786,12.798497,9.431157,7.5155587
21.990282,16.931961,20.00389,4.936237
-22.484968,-6.289122,-13.46568,17.66538
-3.794537,-20.86142,-7.31183,18.584581
-3.3307831,-21.597122,-6.864629,18.4506
-2.1228657,-9.715516,19.089808,10.3046255
20.917738,-36.171722,21.490559,13.608276
10.81892,-39.32554,25.12423,15.54555
-10.101429,-24.025772,-6.957622,19.199368
-12.284685,-20.692284,-8.845744,19.076101
-13.363532,-21.114414,-9.18978,19.206005
31.289286,2.2852628,-9.147623,11.635452
-15.861221,2.1403732,-16.851006,15.711006
-2.6600883,-15.633863,-10.738017,17.881907
-18.50179,0.645951,-8.213913,15.669967
7.8317738,-31.888897,9.774293,16.272879
30.136911,-27.933577,17.333757,11.410121
31.050905,-27.72812,18.214607,11.300913
33.961334,4.1621428,-8.029421,11.717739
5.811183,-18.778896,-8.964295,16.586882
27.151089,-23.423317,10.950965,11.312605
3.013331,-27.548689,-0.5566575,16.87314
34.00295,-26.093712,23.085882,10.961355
2.6135342,-27.144316,-1.320398,16.961012
-9.242778,-30.505442,18.662525,14.265238
22.891605,-35.686817,23.475101,13.38562
16.580057,7.2895784,17.590763,6.274519
-0.06774861,9.561493,-9.433063,12.69155
0.84392065,9.883372,-9.144461,12.568344
16.778355,-30.447294,10.321741,14.217171
23.053654,-34.630936,20.122845,13.117833
35.608727,20.606157,29.990948,2.5092218
35.76664,8.617753,19.677048,5.4938436
36.007866,8.514637,20.780956,5.2927895
21.471157,1.2559804,22.470268,5.8875566
7.1293354,-19.334997,-8.351998,16.26269
6.7371235,-18.491726,-8.9897785,16.42307
31.905602,-0.10040834,-1.4593447,10.310485
5.589371,-36.861298,17.43322,16.261288
6.3439517,-37.148563,17.8883,16.044437
6.265435,-36.59105,16.910322,16.158201
31.80377,1.0664755,19.333902,6.41666
29.476547,-1.4159756,0.89723057,9.8104105
29.01676,-2.4797187,0.5290683,9.981021
33.582634,-24.257435,18.023987,10.577634
34.44271,1.2375839,-0.47123593,10.630063
-11.146571,-8.400848,12.553678,12.593448
-12.978267,-0.5764442,-16.636513,15.580031
10.882258,-19.356495,-7.243457,15.501262
21.838673,15.995938,17.733957,5.3967896
33.095646,5.29674,4.5474014,10.210256
20.495861,9.621882,-10.826685,11.900718
10.528083,-21.603563,-5.4696093,15.3135395
-8.777367,-21.776455,22.547447,12.5022
-16.433342,-6.2564945,-17.261675,16.791445
-12.842748,1.1134807,2.8811793,13.937848
-14.391309,3.1641471,-8.437446,14.70994
28.446396,8.034558,1.6725417,9.30857
-3.3688192,-6.7217073,15.619,10.653744
23.357151,-7.557027,-9.226578,12.435692
-3.2194517,-35.181488,20.178244,14.891753
35.6861,-20.40246,20.091446,9.876231
-4.143391,8.147165,-8.395365,12.896021
-3.2831912,8.503344,-7.910516,12.748098
29.549702,5.9610147,7.020117,8.109935
33.176476,-22.043938,15.872292,10.292576
-3.1783416,8.552874,-7.091273,12.617796
-14.494805,2.9923425,-12.531141,14.940145
27.25964,13.85735,10.884978,7.161125
19.651924,4.227011,-12.104474,12.841283
27.33425,7.467952,3.143449,8.77798
-15.635205,2.6892161,-11.409068,15.141939
3.652563,4.5219045,-14.975354,13.877322
-4.8561854,6.8092704,-13.46456,13.749896
34.277596,20.20418,26.882008,3.2867177
34.813053,20.456675,28.072702,2.9860497
30.579721,-3.020234,15.423942,7.6522226
30.969181,-2.37417,14.012258,7.8609033
-19.66332,-1.3165486,-4.298556,15.86835
-17.554565,-28.814568,3.1221912,16.610792
31.75281,-9.271673,22.213629,7.9358034
14.8173895,-35.359627,16.083405,14.671329
13.966617,-35.521935,16.088915,14.841733
30.384262,19.68096,29.611214,2.4875953
23.262863,5.9413815,23.937109,4.9635487
0.4427075,-1.9899391,-16.212433,15.229758
-14.097662,-29.277195,0.09170879,17.450018
-13.601193,-29.78504,0.85254604,17.36023
7.6693935,-20.601162,-7.2823243,16.033358
-17.10673,-15.95147,12.484864,13.956183
-13.013333,-29.569286,0.2405456,17.508148
3.0956473,-10.627067,23.69067,9.714719
3.3654146,-11.123411,24.495623,9.774444
34.91562,-24.384739,22.453554,10.6221075
35.376553,22.338636,35.81699,1.053933
4.5317397,-17.307846,-10.019322,16.97251
5.352567,-17.41647,-9.863229,16.786913
34.070744,7.7186327,15.142295,6.451581
6.630631,-4.070212,-15.221593,15.330294
2.3240416,-28.175728,0.2678555,17.061493
33.15693,22.077682,33.87193,1.5761235
15.161289,-29.425573,8.254848,14.30721
9.510559,12.061461,-3.6226587,11.183402
